content,score,Label
aplikasi ini pokoknya sangat membantu dan mudah pembayaran👍,5,Positif
"harga sering berubah, bikin kesal",3,
"Bukan pengguna Traveloka, download hanya ingin menyampaikan kritik. Seringkali mengalami overbooked yang berasal dari Traveloka yang tidak balance, sudah FU untuk close allotment tetapi balasan dari pihak yang bersangkutan lama sekali.",1,Negatif
"Kecewa banget dengan pelayanan traveloka kemaren, persen penginapan ketika sampe lokasi katanya full lalu diminta relokasi, dll akhirnya di relokasi ke penginapan lain habis itu otw penginapan tersebut udah sampe full juga habis itu di minta lagi relokasi dll akhirnya saya pilih refund aja mana nunggu 3 hari kerja. Tolong dipastikan data di app dan di penginapan biar gak kejadian kaya gini udah d relokasi ke hotel kain ternyata sampe full juga hotelnya mana udah muter muter habisin Berjam jam.",1,Negatif
Setiap mau bicara dengan CS susah. Telpon berkali yg terpon selalu komputer. Tolong perbaiki CS traveloka seperti dulu.,1,Negatif
"Sangat bagus dan bermanfaat untuk urusan penerbangan, Hotel, experience, antar jemput, bisa dan taksi serta masih banyak lagi semuanya top deh hayo teman teman SDR sdri pakai app. Traveloka Sanga memuaskan terimakasih.",5,Positif
Aplikasi Travelola sangaat membantu untuk semua kepentingan kami' trima kasih Traveloka,4,Positif
"Beli tiket pesawat tiba-tiba saat check out harga berubah naik sendiri dari sebelumnya, sudah sering begini.. di ulangi lg dari awal begini lg..",2,Negatif
Traveloka sangat merugikan kami pada hari ini seharusnya kami flight tetapi pihak maskapai sudah menghubungi dan merubah jdwal ke traveloka. Tp traveloka tidak memberitahu kami atas perubahan itu. Hanya di beritahu jika perubahan jam dr jam 7 pagi menuju jam 13.40 pdhal maskapai info ke traveloka jika di ubah ke tanggal 21-5-2023,1,Negatif
Setelah di update kenapa fitur bioskop nya gak ada yaa??,3,
Sering tertipu dengan aplikasi ini. Foto bagus aslinya kya rumah hantu,1,Negatif
"Buka apps nya, lihat, baca, pelajari dan pesan yang terbaik dan termurah. Semua ada di Traveloka. Kaga Percaya? Silahkan buktikan sendiri mulai dari yang terendah hingga terpopuler.Sy suka belanja keperluan liburan dan bisnis dalam perjalanan mau pun hotel dengan Traveloka. Pertahankan layanan yang terbaik ini.",5,Positif
"Bigung saya lihat komentar kenapa semua komentar buruk, padahal saya gunakan traveloka ini puluhan tahun, ga pernah ada masalah semua terjamin dan terkendali, tetap berpihak pada traveloka sukses selalu 😁",5,Positif
"Booking hotel gasengaja transfer dua kali, langsung hubungi CS dan ternyata gercep banget, langsung dibantu hubungin pihak hotelnya. Dan gasampe 2 hari uang sudah direfund utuh tanpa potongan. Good Job... 👍",5,Positif
"transaksi cepat, banyak pilihan dan hemat",5,Positif
"Paylaternya ngeri..tiket sdh drefund, limit sudah balik cicilan jalan terus. Jadi double cicilannya dgn booking gantinya. Bukan cuma bunga ya yang saya bayar tp cicilan tiketnya juga. Masih ngotot cuma bunga lg. Saya yang bayar setengah mati cicilan penuh bukan bunga tau! Sorry kcewa bgt dan bnr2 gila. Telat shari lsg tiap 3 menit itu spam telp trs spnjang hari. Sory kapok dan auto delete stlh lunas. Limit jg trun dr 9jt ke 2 jt..",1,Negatif
"1. Fitur Auto accept penambahan asuransi CITIHUB dg nominal besar. Kalau tidak jeli bisa kena jebakan betmen bayar lebih mahal 50-60rb untuk asuransi yg kita ngga tau 2. SCAM DG MELAKUKAN PENIPUAN RATE ROOM! di aplikasi ditulis bintang 4, tapi waktu datang ke hotel dibawah itu. Harusnya dr pihak traveloka melakukan survei kelayakan akomodasi. 3. Markup harga agak laen. Dr 400 kalau pesan langsung ke hotel di Traveloka di banderol jd 600++ 😂 Untung skg udh jrg pake traveloka 🖕🏻",1,Negatif
"Masih ditemukan kelambatan proses transaksi pada refund ataupun pembayaran lainnya ,padahal dari admin nya proses nya berjalan 2-5 hari setelah ditunggu sampai 5 hari masih belum ada respon dari pihak traveloka Sangat kecewa",5,Positif
Baru pertama download dan daftar pakai nomor hp dan ada yg telp.... dimasukin berkali kali kok gak berhasil ya,2,Negatif
Selalu pakai aplikasi ini kemanapun...Sangat membantu dan mudah transaksinya. Good,5,Positif
"Bagus aplikasinya, bisa pesan tiket online, mantap 🌟🌟🌟🌟",4,Positif
"Saya sering banget booking apa2 pake traveloka dan tulisannya akan mendapatkan poin sekian ribu, tp setalh itu di cek poinnya ttp 0,itu gmn maksudnya ya?",4,Positif
"Kecewa sama traveloka, beli tiket di cancel sama air asia harga 1,3jt masa cuma balik 136rb. Setidaknya kalo yang cancel penerbangannya balik lah duit. Kalo gitu cancel aja semua penerbangan biar makin kaya penerbangan di Indonesia makan uang tidak halal.",1,Negatif
"mudah,murah dan cepat prosesnya",5,Positif
aplikasi terbaik untuk memenuhi kebutuhan travel kita.,5,Positif
Sangat membantu untuk perjalanan.,5,Positif
Aplikasi dg harga hotel termurah dan banyak promo,5,Positif
"saya mengajukan paylatercard, sudah 2 minggu berturut'turut sampai saat ini status masih meninjau dan limit saya tak kunjung balik, sangat kecewa padahal mau staycation 😭",2,Negatif
mudah dan membantu tanpa ngantri,5,Positif
"Sebagai prioritas customer di traveloka, merasa gak ada istimewah nya aplikasi ini . Sangat buruk yang chat dan pelayan juga hanya robot. Minta proses pengajuan refund saja tidak becus .. parah bener traveloka",1,Negatif
proses cepat .tapi tolong lebih ditingkatkan,5,Positif
sangat membantu saya dan memudahkan saya bertraveler...,5,Positif
"ada promo dan diskon,, mantaps",5,Positif
"paylater limit turun, padahal pembayaran tepat waktu, kocak",3,
"cepat prosesnya, bahkan disaat² kepepet. Good Job Traveloka",5,Positif
cepat dan murah,5,Positif
aplikasi nya lancar dan mudah penggunaannya,5,Positif
"update info tiketenya cepat, prosesnya mudah dan amann.. mantapplahh",5,Positif
"Ini mana nomor telp CS yg bisa ditelpon via suara? Kok susah x. Mahal x suara itu ya, mau bicara aja pun gak bisa.",3,
Kecewa banget. Biaya refund nya lebih dari 50%,1,Negatif
"Ternyata Belanja di Traveloka sangat mudah dan Simpel. Beli Tiket Pesawat, Reservasi Hotel dapat memanfaatkan Bonus Point. Terima kasih Traveloka telah memperlancar tugas tugasku dalam perjalanan sebagai PNS. Sukses dan Terima Kasih utk Dukungannya selama dlm penugasan",5,Positif
sangat membantu...tidak perlu ke mana2 cukup dirumah untuk beli tiket👍,5,Positif
Traveloka makin kecee dan mendunia. terbaik dalam semua aspek. terimakasih traveloka,5,Positif
sangat membantu terutama saat di luar kota,5,Positif
"Iklan di traveloka sangat buruk sekali, tidak bisa cari hotel, penerbangan dll karna ada iklan dan yg kepencet malah iklan atau lainnya, untuk mencari hotel penerbangan dll tetap tidak bisa",1,Negatif
"3 dulu soalnya paylaternya belom bisa buat beli tiket atraksi dufan atau ancol dll,,semoga limit nya naik dsn bisa gunakan ke TODO",3,
Kecewa dengan traveloka tiket sudah terbit pembayaran cash.dibatalkan maskapai.dan refund juga lama,1,Negatif
senang pakai traveloka semua jadi lebih mudah dan murah,5,Positif
Selalu pake aplikasi ini tp udah 1 bulan ini aplikasi gak bisa d pake,1,Negatif
semakin mudah kemana mana pake traveloka,5,Positif
"amat sangat membantu saya, kami keluarga dan komunitas kami... semakin luar biasa",5,Positif
"Traveloka sy daftar paylater kok Uda di setujui tapi di batalkan, Kurang puas",1,Negatif
Pesan Tiket Pesawat slalu Mudah & Cepat itu yg sya rasakan. Sangad puas dg Layanan Traveloka.,5,Positif
"refund gada kejelasan, udh nanya maskapainya kalau memang pihak dari ni app gada niat menghubungi maskapai yg akan me refund, parah!",1,Negatif
cepat gampang dan terpercaya,5,Positif
teman perjalanan dan trip liburan,5,Positif
"Lebih baik jangn pernah pesan tiket bis d traveloka, sampe lokasi beda ketentuan, bisa termasuk penipuan",1,Negatif
Terimakasih traveloka Refund nya cepat di proses Ga di lama lama in... Puas banget sama pelayanan nya sih.. Sukses terus pokoknya Traveloka,5,Positif
"Update terbaru, tapi akses loading mulu",1,Negatif
"untuk pemesanan tiket pesawat ketika di klik harusnya sudah tidak ada penambahan biaya, namun bisa jadi juga penambahan biaya itu kebijakan maskapai, jadi y sudah lah",4,Positif
amat membantu memudahkan perjalanan keluar kota,5,Positif
Apakah aplikasi traveloka sedang eror??kenapa tidak bisa di buka,1,Negatif
"Ini kenapa tiap mau nyari rental mobil mesti maintenance mulu? Apasih kendalanya? Udah upgrade malah sulit, gimana sih traveloka yg awalnya bintang 5 jadi ngasih bintang 1 kan",1,Negatif
Bagus dan membantu untuk berpergian ☺,5,Positif
Pelayanan nya sangat baik dan sangat ramah,5,Positif
sangat membantu dan Mudah di Gunakan,5,Positif
"apk bagus, sangat membantu",5,Positif
Aplikasinya terlalu lambat loading. Pertama2 aja bagus lama2 lambat sekali. Lebih baik uninstal,1,Negatif
"Saya sangat kecewa sekali krna traveloka kerja sama dengan travelio yg proses nya sangat tidak bagus,banyak peraturan,dan kita di suruh bayar lagi di aplikasi tarvelio nya. Kecewa bngt,",1,Negatif
"singkat,cepat dan praktis 👍👍",5,Positif
"good, mohon 🙏 dibantu diperbanyak lagi diskon promo kamarnya khususnya di daerah atau wilayah Palembang, terimakasih 🙏 sebelumnya atas perhatiannya, tetap semangat dan sukses selalu untuk Traveloka, Aamiiin 🤲",5,Positif
"proses pemesanan mudah dan cepat,banyak fitur nya mulai penerbangan,tiket kereta,hotel hingga destinasi ke wahana rekreasi keluarga..",5,Positif
"Mau pesan tiket , gangguan mulu pas isi data penumpang 😡😡",1,Negatif
sangat mudah dan membantu... pilihan hotelnya banyak... makasih traveloka,5,Positif
"Kecewa dengan Traveloka menu opsi refund ada tapi tidak bisa digunakan, telpon CS jg alasannya nomor pesanan tidak aktif padahal jelas saya udah bayar dan tanggal inap juga masih jauh",1,Negatif
lebih mudah segala akomodasinya,5,Positif
"aplikasi aneh dan gak konsisten, ketersediaan tiket kereta antara satu akun dengan akun yg lain beda.. yg 1 kursi masih bnyk yg 1 lagi fully booked. busuk!",1,Negatif
"terimakasih Traveloka,,tiket pesawat murah praktis pembayaran,,,",5,Positif
ini mau tambah nomor tlp sama email aja susahnya minta ampum,1,Negatif
"sangat membantu, terimakasih atas pelayanan nya",5,Positif
"Setelah update aplikasi kerasa makin lemot, mau pakai kuota atau wifi sama saja",3,
gampang dan mudah di akses nya,4,Positif
Iklan terlalu menggangu,1,Negatif
Bagusss sangat terbantu dengan adanya traveloka🥰,5,Positif
"jengkel aja, soalnya mau login akun lain susah, traveloka memaksa login akun yg sama sekali klik, pdahal aku mau login akun lain, sampai coba uninstall berkali2 menghabiskan waktu berjam2. baru sadar waktu mencoba login tanpa menghadap kamera.",1,Negatif
Traveloka gk oke lagi skarang. Jaringan lemot dikit aja gk bisa proses. Disuruh coba lagi. Kabur daahhh,1,Negatif
"cara praktis untuk cari hotel,",5,Positif
Tampilan desainnya bikin pusing kayak web dinas²,3,
"Saya sangat kecewa terhadap aplikasi ini.. dikarenalkan proses refound lama dan dipersulit, sudah 1 minggu sejak pengajuan refound saya tidak di bayarkan sampai sekarang Saya sangat tidak merekomendasikan aplikasi ini Dan kejadian ini mudah²an tidak terulang kembali ke orang lain... tdk semua orang ekonominya baik dan stabill!!!!!!",1,Negatif
memudahkan utk pemesanan perjalanan dan penginapan selama liburan,5,Positif
Pengajuan playter saya di tolak Mohon untuk menghapus data saya. Jangan salah guna kan data saya. Terima kasih,1,Negatif
Mudah aplikasinya mudah peng operasionalnya,5,Positif
sangat membantu transaksi penerbangan,5,Positif
"Traveloka itu aneh ya yg lebih bnyk kegunaan virtual account bayar tepat waktu virtual nya tau"" Gabisa, trs paylater gak dipake buta hotel 2 bulan aja limit turun pdhl byr selalu tepat waktu min gak smua org itu bisa liburan tiap bulan tolong diperbaikin sistemnya bayar ontime selalu tapi tiba"" Turun level gegara gak pake hotel /tiket"" Lainnya",5,Positif
traveloka membuat hidup lebih berwarna dan memudahkan semua kebutuhan kita...,5,Positif
"Tolong ya traveloka, kl ga niat nawarin paylater jgn stlh kirim data, ternyata ditolak..tolong smua data saya dihapus",1,Negatif
simpel & mudah dipahami,5,Positif
traveloka paling oke dan sangat membantu,5,Positif
"Alhamdulillah bagus terus😘, smoga bnyk lagi diskonnya, terutama bagi customer yg mungkin sdh bertahan memakai aplikasi ini brp tahun..🙏🏻",4,Positif
"mantabz, layanan cepat",5,Positif
sangat membantu sekali terimakasih traveloka,5,Positif
sop nya suka ribet.apalagi masalah refund.cancel karena terpasang kita msh pakai traveloka,2,Negatif
traveloka aplikasinya semakin mantap,5,Positif
tingkatkan lagi desen aplikasi nya trim 👏,5,Positif
"Mohon dibantu untuk penghapusan Score BICEKING/SLIP OJK,karena sudah dilunas travelokapay sudah lama tapi masih terditeksi score jelek biceking travelokapay,Sangat kecewa dengan pelayanan travelokapay",1,Negatif
Selalu menggunakan Traveloka kalau bepergian,5,Positif
traveloka sangat membantu sy ketika butuh bepergian 🌹,5,Positif
praktis dan simple bikin semua jadi mudah,4,Positif
cukup stabil performanya,5,Positif
"mantap, mempermudah pemesanan hotel",5,Positif
"saya lakukan pembelian tiket lagi dengan harapan pembelian sebelumnya yang terjadi kesalahan pembayaran dapat diproses secara bijaksana, entah dikmbalikan atau apapun kebijakan manajemen Traveloka. terima kasih.",5,Positif
Cepat tepat dan terpercaya,5,Positif
proses mudah..banyak harga promo.,5,Positif
"Top markotop deh pokoknya, lanjut dan tingkatkan.",5,Positif
"Harusnya kalo ngasih limit ga usah ada batasan untuk penggunanaan, ini malah limit saya di bekukan, harusnya buat pelanggan se nyaman mungkin dong",1,Negatif
sangat mudah dan gampang saat bepergian ada aplikasi ini,5,Positif
Habis update kok malah armada travel yg biasa nya ada kok jadi ngga ada? Jadi nyesel update,3,
"Aplikasinya apa lagi error ya, kemaren mau di gunakan kok restart terus akhirnya sebel aq hapus saja, sekarang q download lagi tapi lambat banget dan berhenti g bergerak😱",4,Positif
pelayanan oke tpi kmrn limit paylater sya naik sekrang malah diturunkan lebih rendah dari limit awal kecewa sekalian aj tidk diadakan paylater,5,Positif
sebaiknya traveloka memberikan tiket/diskon bagi costomer,4,Positif
cepat dan akurat,5,Positif
Aplikasi ini sangat membantu utk kemudahan pesan hotel sesuai dg pilihan,5,Positif
Sangat Membantu dan Proses cepat,5,Positif
"Sisa tagihan tinggal 5000 dan sudah saya bayar mulai bulan maret lalu tapi sampai skr tetap muncul tagihan kurang 5000 ditambah biaya layanan 5000, akhirnya saya bayar lagi ttapi tidak masuk di riwayat transaksi dan limit juga masih belum kembali full.",2,Negatif
"Terlalu banyak iklan² sisipan, masih bagus tampilan saat awal awal aplikasi ini.",1,Negatif
ini kenapa min apk ko abis updute gak bisa dibuka megegeggg gak bisa dipake,1,Negatif
"Aplikasi nya susah untuk dibuka, sehingga sulit untuk mencari tiket",4,Positif
cepat mudah dan murah,5,Positif
"Berkali-kali saya menggunakan traveloka untuk beli tiket pesawat, hotel, dll... Walaupun mungkin sedikit lebih mahal dibanding aplikasi lain, tapi layanannya bagus, jujur, refund atau reschedule cepat... Terbaik menurut saya...",5,Positif
pake traveloka lbh cepat dan mudah,5,Positif
"Saya sangt kecewa berat degan Traveloka,kmrin beli tiket Papua Lampung,mmng LBH murah tp 2 pesawat,lion dn Citilink,ya Allah kejam na orang maskapai jg,yah Giman mu keburu, terminal bejuhan,kirain 5 jam it benar tepat,ternyta cek in d Citilink Jakarta wkatu 1 jam,mana jauh menuju terminal eh tiba malah Sdh tutup..mana uang pas""n akhrna naik Trevel ke lampung.malah tambah mahal... terimakasih Traveloka Sdh menyiksa sy",1,Negatif
"Bikin sakit kepala. Terlalu banyak iklan dan promo yang di ulang2 diberanda. Bikin sakit kepala saja, yang mau di cari malah informasinya kurang memadai.",1,Negatif
"Oke sih apknya untuk booking, tp gunanya ada fitur paylater buat apa saat butuh daftarnya susah banget, pakai akun sendiri tidak disetujui, pakai akun anak juga sama, alasannya pun ga logis, banyak fitur tp tidak berguna, bukannya mempermudah justru menyulitkan. Tolong ya diperbaiki, maaf saya beri rating 1.",1,Negatif
Aplikasi ternama dengan customer service yang buruk!,1,Negatif
Di aplikasi lain tiket masih tersedia. Disini selalu sdh kosong. Padahal saya pengguna lama,2,Negatif
"mohon bantuannya untuk traveloka, kami mau melakukan pembayaran paylater tapi kenapa tidak bisa melakukan pembayarannya ya? padahal setiap hari sudah di coba tapi tidak bisa dan setiap membuka untuk metode pembayaran selalu kembali ke beranda? untuk jaringan yg kita punya itu kuat dan sekarang akun traveloka saya logout sendiri, apakah bisa melakukan pembayaran paylater traveloka melalui email? mohon bantuannya untuk kami melakukan pembayaran melalui email, terimakasih.",4,Positif
proses nya cepat dan layanan nya baik,5,Positif
"Saya sangat kecewa dgn pelayanan traveloka, kendala refund sampai saat ini masih dalam proses aproval,riwayat refund saya pun masih kosong sudah 14hr sesuai ketentua...malah di tambah 7x24 jam lagi, ckckckckck...",1,Negatif
"ga pernah gagal cari hotel,tiket pesawat, tiket kereta pakai aplikasi ini....top",5,Positif
"mantap, cuma mau daftar paylaternya ribet",5,Positif
terima kasih traveloka mempermudah perjalanan saya,5,Positif
bermacam-macam fiturnya dapat untuk membayar segala tagihan dan untuk perjalanan dan lain-lain saya sangat puas,5,Positif
cepat dan simple mempermudah pekerjaan terima kasih,5,Positif
"cepat ga ribet,semoga selalu melayani dengan sangat baik...",4,Positif
terkadang harga lebih mahal drpd sebelah.. jgn lupa bandingkan sebelum pesan,1,Negatif
Kenapa aplikasi Traveloka sekarang sering sekali lemottt???utk cek tiket sja susah TDK bsa connect,2,Negatif
Kecewa sm traveloka..masa cek hotel beda tanggal selalu status kamar tidak tersedia. Tapi kalau pakai akun lain kamar tersedia.. payah nih..mending pesen voucher hotel di aku.. haha,2,Negatif
Alhamdulillah selalu pakai Traveloka utk pesan penginapan,4,Positif
Luar biasa cara kerjanya cepat,5,Positif
paling murah dan sering ada promo🙏😁,5,Positif
halaman awal selalu terjadi masalah,1,Negatif
Traveloka kenapa sih sekian tahun pakai ok aja tetiba sekarang aplikasi bukan hanya lelet bahkan ga bisa di pakai. Bukan soal sayang point tapi susah dipakai saat dibutuhkan.,4,Positif
"TRAVELOKA sudah beberapa kali gak bisa dipercaya. Sudah capek beli tiket di TRAVELOKA. Menghabiskan waktu saja. Mulai dari ketidakmampuan memberikan e tiket padahal sudah dibayar sampe molor sehari lebih, sampe janji bisa reschedule ternyata ruwet molor bertele2. Urusan jadi ribet pake TRAVELOKA. Mending beli langsung di maskapai nya atau pihak kereta api nya langsung.",1,Negatif
Traveloka kalau minta reschedule biaya tambahannya banyak bgt.,1,Negatif
senang dan nyaman pakai traveloka,5,Positif
"cukup mempermudah proses pembelian tiket secara online saat kita sibuk bekerja dan tidak bisa memesan langsung ke stasiun/bandara.. selain itu juga mempermudah orang untuk melihat jadwal keberangkatan, promo menarik, dan tiket yang tersedia secara online..",5,Positif
sangat gampang via Traveloka beli tiket pesawat,5,Positif
"Keren nich Traveloka, metode pembayaran banyak opsi.. Ga nyangka kartu Debet pun bisa ternyata..",5,Positif
pilihan nomer seat tidak bisa dilakukan,4,Positif
sangat membantu saya dalam pemesanan tiket pesawat dan hotel... bisa pilih-pilih sesuai dengan kondisi dan keuangan...,5,Positif
Sangat membantu dan mudah dipakai,5,Positif
Baik dan lancar sangat membantu,5,Positif
sangat membantu paylater nya. mudah²an dapet lima gede 😁. makasih Traveloka 🙏🏻,5,Positif
Ini gmna si udah di tranfer dari atm ke uangku tapi malah ga masuk masuk saldo mana udh set jam lebih,1,Negatif
"Mudah , cepat dan praktis",5,Positif
"Traveloka makin tidak jelas limit saya jadi berkurang dan aplikasi jadi lemot kecewa berat pelanggan. Saya sudah Update ke Versi terbaru Traveloka dan kendala keterlambatan pembayaran tagihan tidak pernah,kok bisa di turunkan limit nya??????????",1,Negatif
cepat mudah dan terpercaya. good job traveloka,5,Positif
"Makin lama aplikasinya makin berat, banyak bug.",3,
Traveloka memang mantap betul..,5,Positif
"Pembayaran paylater lewat bri,perbaikan nya lama sekali",2,Negatif
"mudah dan cepat, begitu transfer langsung dikirim etiket by email",5,Positif
"Kecewa dgn pelayanan traveloka, saya sdh oder hotel & sdh melakukan pembayaran, sdh ada bukti pembayaran namun VOUCHER tidak terbit dgn alasan kamar telah habis terjual (saya cek diaplikasi kembali ternyata msh ada), ditawarkan 2 solusi yg pertama Relokasi atau Refund, untuk yg Relokasi Hotel lain saya sangat kecewa karena ditawarkan hotel yg tidak sebanding dgn hotel yg saya oder. Apakah ini memang ada kendala di aplikasinya atau ada Oknum"" yg sengaja tidak menerbitkan untuk disalahgunakan.",1,Negatif
"Saya telat bayar paylater 2bulan karna lupa, soalnya login nya di hp ade saya. Sekarang sudah dibayar tapi transaksi payleternya dinonaktifkan sampe kapan ya??",3,
Saya sdh beberapa kali hapus aplikasinya dan download lagi untuk menghilangkan tumpang tindih tulisan/angka yang ada di pencarian harga tiket pesawat. Tetap sama saja masih tumpang tindih gitu,5,Positif
"Aplikasi ga ada guna, yang gw hangus gara2 villa byk peraturan dan pihak traveloka juga parah bgt. Semoga cepet tutup ini aplikasi. Harga vila dan hotel nya mahal.",1,Negatif
"E-tiket udh terbit tp sampai di pool ditolak, ternyata ada kendala antr traveloka & pool busnya, sy pun diturunkan dr bus di hari keberangkatan. Setelah komplain sy dpt 2 opsi (reimburse & full refund) tp anehnya opsi pertama disuruh cari bus lain yg detail keberangkatannya sm spt tiket awl (padahal jelas2 bus antar provinsi hampir mustahil bs dpt tiket di hari itu juga). Akhirnya terpaksa plh full refund & akhirnya sy ABSEN kerja 2 hr krn tertunda keberangkatannya. Terima kasih traveloka :)",1,Negatif
kemudahan dan jangkauan dlm bertransaksi,4,Positif
mudah dan nyaman pakai traveloka,5,Positif
Kenapa saat pengajuan paylater ketika memasukan nama perusahaan selalu dapat notif masukan nama perusahaan yg valid??padahal alamat dan nama perusahaan sudah betul.seakan2 sistem kalian jauh lebih tau saya bekerja dimana.perbaiki deh sistem perusahaan anda.kalau gak ya gak usah sok2an pakai vasilitas paylater kalau memang untuk pengajuan aja udah susah,1,Negatif
cepat akurat dan terpercaya,5,Positif
Lebih senang sama traveloka yg dulu . beli ticket langsung sat set Sat set,3,
"aplikasinya ga jelas, mau pesan tiket tp tiba tiba penuh. masa ga ada update nya padahal udah berharap dapat tiket. 👎",1,Negatif
"Parah sih, mw refund lg btuh bgt cash, ga ada pembritahuan di awal kalau bakalan diganti voucher, cuma info tiket bisa refund eh malah trnyata katanya kebijakan maskapai, ambyar dah dikasih voucher mana cuma berlaku 1th. Kecewa banget, dulu traveloka ga kaya gitu. Mhon next di infokan detail min, jadi sekalian cari tiket murah angus angus sklian🙃.",1,Negatif
"kenapa traveloka sekarang tidak bisa diajak kerja sama dengan baik yaa,tolong dongg balikin traveloka yang dulu playstore☹️",4,Positif
"Ini kenapa traveloka tidak bisa dibuka? Dan hanya tersedia dua fitur saja,,fitur pesawat dan hotel. Yg lainnya tidak muncul. Padahal saya sudah update versinya. Mohon bantuan ny. Uda 3 hari seperti ini.",1,Negatif
"Niatnya mau coba pake aplikasi ini, krn dlu sering pake apl ini, tp Mengecewakan masa search nya gak bisa2 pdahal sdh keluar otomatis, saat di klik malah notif salah ejaan, hadeeh...hapus aja lah aplikasi, pake Agoda lagi aja klo bgini mah",1,Negatif
"Saya pesan ticket penginapan, sampai di hotel nya di tolak bahwa tidak ada bekerjasama lain. refund tidak bisa. Parah",1,Negatif
"selalu yakin dan percaya untuk beli tiket penerbangan di traveloka, the best, thanks.",5,Positif
"Level makin hari makin turun, jarang digunakan juga, tolong hapusin data pribadi saya di sistem min, kalau bisa blokir dah 👎",1,Negatif
"mantab, cepat singkat padat",5,Positif
user friendly dan sangat mudah dalam refund atau reschedule,5,Positif
mudah dan simple,5,Positif
sangat² membantu disetiap perjalanan 🥰🥰,5,Positif
Traveloka mudah diakses dan pelayanan bagus....,5,Positif
sangat berguna buat orang yg lagi perjalanan jau/mudik,5,Positif
"semua menjadi mudah, dan tidak perlu antri Gaess. Terimakasih Traveloka🙏🏽😉",5,Positif
"praktis, efektif dan efisien",5,Positif
sangat pembantu applikasi ini... di saat waktu yg mendadak.,5,Positif
semakin mudah jalan jalannya,5,Positif
"Langsung saya uninstall dan gak akan ku install lagi.... Komplain mau nge refund gak dibantu, padahal cancel dan tlpn k cs dari jam 11 . Awal ingin check-in jam 10 siang saya k hotel, walaupun secara aturan check-in itu jam 14.00, secara pemesanan refundable dan amandable, karena mendesak dan saya harus cancel akhirnya saya tlpn cs, harus nunggu 3x60 menit harusnya jam 1 sdh dapat info, jam 2 blm ada kabar. Tau2 sore hari dpat kabar by email dan tlpn lsg cs k saya, katanya ga bisa karena sdh",1,Negatif
"Proses pemesanan yg sangat mudah, cepat dan terpercaya. Terimakasih Traveloka.",5,Positif
Traveloka sangat simpel dan praktis.,5,Positif
Pengalaman mengesankan saat refund. Fast respon 👍🏻,5,Positif
fitur mudah digunakan,5,Positif
layanan sangat memuaskan,5,Positif
proses cepat dan mudah,3,
keren sangat membantu bagi travelling,5,Positif
Akhir akhir ini aplikasi ini makin gak jelas. Harga berubah ubah. Saat di cari harga a. Kemudian di klik harga b pas mau bayar harga c. Ini traveloka masih serius gak ngurus hal teknis gini? Harga kamar kayak harga trading forex. Admin nya coba cek aplikasi anda ya.,1,Negatif
mau coba pakai Paylater pinnya lupa🤣🤣 jadi cash lagi... untuk layanan yang lain sudah Top Bgt ditunggu inovasi baru yang lebih friendly dari Traveloka,4,Positif
Pelayanan sangat baik dan mudah untuk pemesanan...terimakasih Traveloka...,5,Positif
"Traveloka menghadirkan banyak kemudahan serta layanan prima, bila ada masalah diselesaikan baik dan nyaman",4,Positif
"Aplikasi udah down selama 3 hari, gk ada perbaikan ataupun informasi , sungguh"" mengecewakan, pantas saja kalah dgn aplikasi lain",1,Negatif
"Paylater knp gak bs gunakan , kmrin krn covid agk telat bayar, tp qta bayar jg , kok d lock paylaternya",2,Negatif
aplikasinya sangat bagus dan membantu trimakasih traveloka.,5,Positif
Lebih mudah cari tiket apapun d traveloka,5,Positif
Sangat mudah dan gampang utk booking Hotel.,5,Positif
"beli tiket bus tanggal 26, Jogja - Jakarta tertera langsung . begitu tiba di agen ditolak karena tidak terdaftar, telpon ke cs traveloka suruh nunggu 15 menit habis itu gak ada kelanjutan lagi, tiba tiba pihak agen bus bilang berangkat tanggal 27, sampe di Klaten dioper ke bus lain . Kapok",1,Negatif
"Ini cara restceadjule gimana iya,sya pengguna lama loh,dan sering bangt pesan tiket pesawat disini,tpi knpa ini sya mau resceadjule uda nggk bisa,diarahin ke easyresceadjule,tpi diteken nggk ada keteragan buat pengajuan resceadjule Kecewa sya kalo ini nggk bisa diajuin Mohon arahannya traveloka!!",1,Negatif
"Sekarang aplikasi lemot banget dibukanya padahal sudah versi update, jaringan jg normal utk buka apk lain. padahal lagi butuh sekali dan bisa terbantu dengan adanya fitur paylaternya utk pembelian tiket. Tolong developer dibenahi supaya pengguna setia traveloka tidak dikecewakan karena persoalan ini",2,Negatif
Setelah update malah tidak bisa beli karena data pemesan tidak bisa dimasukkan..tolong segera diperbaiki...karena saya mau pesan tiket.,5,Positif
Perlu di perbaiki sistem reschedule dan biaya nya jangan kami dipermainkan sampai denda 1 jutaan hanya karena pindah jadwal menginap,1,Negatif
saya suka karna mudah bisa di cari dari rumah sambil baring baring sukses selalu .nb pesan saya kasihlah harga yg setandar jangan mencari kesempatan dalam kebutuhan ...terimakasih,5,Positif
"UI yg mudah digunakan, ada petunjuk yg terus tampil bagi pengguna baru jadi memudahkan pengguna akses menu menunya.",4,Positif
